station,valid,tmpf,tmpc,dwpf,dwpc,relh,feel,sknt,mslp,p01m,p01i,gust,skyc1,skyl1,romps_LCL_m,lcl_estimate
LGU,2023-03-01 02:51,30.9,-0.61,10.9,-11.72,42.78,22.15,9.0,1007.6,0.0,0.0,,OVC,7000.0,1370.2493974033373,1388.7500000000002
BCE,2023-03-01 02:53,21.0,-6.11,14.0,-10.0,73.94,8.57,11.0,1008.4,0.0,0.0,,SCT,3300.0,570.8684606718776,486.24999999999994
OGD,2023-03-01 02:53,35.0,1.67,12.9,-10.61,39.49,27.93,8.0,1006.2,0.0,0.0,,OVC,9000.0,1511.1596021947705,1535.0
CDC,2023-03-01 02:53,33.0,0.56,21.0,-6.11,60.71,21.52,17.0,1007.6,0.0,0.0,,FEW,4700.0,829.6827380199666,833.75
PUC,2023-03-01 02:53,19.9,-6.72,8.1,-13.28,59.6,12.03,5.0,1013.0,0.0,0.0,,CLR,,901.1986451434553,820.0
VEL,2023-03-01 02:53,17.1,-8.28,5.0,-15.0,58.38,17.1,0.0,1013.4,0.0,0.0,,CLR,,940.676335341892,840.0000000000001
CNY,2023-03-01 02:53,30.9,-0.61,12.0,-11.11,44.92,27.43,3.0,1010.4,0.0,0.0,,CLR,,1296.5864561759056,1312.5
SLC,2023-03-01 02:54,37.0,2.78,12.0,-11.11,35.2,29.24,10.0,1006.4,0.0,0.0,,FEW,5000.0,1700.622490882925,1736.2499999999998
HIF,2023-03-01 02:55,28.8,-1.78,13.3,-10.39,51.81,18.42,11.0,1006.9,0.0,0.0,,OVC,7000.0,1084.320407879674,1076.2500000000002
ENV,2023-03-01 02:56,35.0,1.67,17.1,-8.28,47.43,24.46,16.0,1005.9,0.0,0.0,,OVC,8000.0,1229.604213829985,1243.75
PVU,2023-03-01 02:56,34.0,1.11,14.0,-10.0,43.3,28.77,5.0,1008.9,0.0,0.0,,OVC,11000.0,1363.7305840408308,1388.75
SGU,2023-03-01 02:56,46.0,7.78,28.0,-2.22,49.18,41.36,8.0,1008.9,0.0,0.0,,OVC,8000.0,1238.6606009973618,1250.0
LGU,2023-03-01 03:51,30.9,-0.61,12.9,-10.61,46.74,22.76,8.0,1006.9,0.0,0.0,,OVC,7000.0,1236.2811976679586,1250.0
BCE,2023-03-01 03:53,19.9,-6.72,18.0,-7.78,92.19,5.57,14.0,1008.3,0.0,0.0,,FEW,2700.0,234.11898366633133,132.50000000000006
OGD,2023-03-01 03:53,35.0,1.67,10.0,-12.22,34.72,27.37,9.0,1005.1,0.0,0.0,,SCT,7000.0,1704.6363590585056,1736.25
CDC,2023-03-01 03:53,32.0,0.0,24.1,-4.39,72.3,25.53,6.0,1007.5,0.0,0.0,,BKN,3900.0,543.8204618083529,548.75
PUC,2023-03-01 03:53,21.9,-5.61,8.1,-13.28,54.75,14.4,5.0,1011.9,0.0,0.0,,BKN,11000.0,1020.718606489001,958.7499999999999
CNY,2023-03-01 03:53,30.9,-0.61,14.0,-10.0,49.05,30.9,0.0,1009.9,0.0,0.0,,CLR,,1162.5588857120476,1173.75
VEL,2023-03-01 03:53,12.9,-10.61,4.0,-15.56,66.67,12.9,0.0,1013.9,0.0,0.0,,CLR,,762.6725094846553,618.7500000000001
SLC,2023-03-01 03:54,37.0,2.78,10.9,-11.72,33.52,29.24,10.0,1004.2,0.0,0.0,,FEW,5000.0,1774.0132291860064,1812.5
HIF,2023-03-01 03:55,30.2,-1.0,11.5,-11.39,45.2,19.26,13.0,1005.4,0.0,0.0,,BKN,7000.0,1288.4152130173911,1298.75
ENV,2023-03-01 03:56,34.0,1.11,18.0,-7.78,51.52,23.37,15.0,1004.8,0.0,0.0,,BKN,7000.0,1094.4907589195861,1111.25
PVU,2023-03-01 03:56,36.0,2.22,8.1,-13.28,30.76,30.35,6.0,1007.6,0.0,0.0,,OVC,8000.0,1892.5031589041948,1937.5
SGU,2023-03-01 03:56,46.0,7.78,30.0,-1.11,53.37,41.36,8.0,1008.3,0.0,0.0,,BKN,6000.0,1103.0310174951944,1111.25
LGU,2023-03-01 04:51,30.9,-0.61,12.9,-10.61,46.74,20.16,13.0,1006.0,0.0,0.0,,OVC,8000.0,1236.2829054928409,1250.0
BCE,2023-03-01 04:53,21.0,-6.11,19.0,-7.22,91.83,9.84,9.0,1007.6,0.0001,0.0001,,BKN,500.0,232.25575251748222,138.74999999999994
CDC,2023-03-01 04:53,30.9,-0.61,25.0,-3.89,78.48,21.59,10.0,1007.0,0.0,0.0,,FEW,3300.0,416.3579702686128,410.00000000000006
PUC,2023-03-01 04:53,23.0,-5.0,7.0,-13.89,49.74,23.0,0.0,1011.3,0.0,0.0,,SCT,10000.0,1159.6466685618834,1111.25
CNY,2023-03-01 04:53,30.9,-0.61,18.0,-7.78,58.36,26.14,4.0,1009.1,0.0,0.0,,CLR,,892.6764292482779,896.25
VEL,2023-03-01 04:53,10.9,-11.72,6.0,-14.44,80.57,4.57,3.0,1013.7,0.0,0.0,,CLR,,495.99931315596075,339.9999999999999
OGD,2023-03-01 04:53,35.0,1.67,10.9,-11.72,36.14,27.37,9.0,1004.2,0.0,0.0,,OVC,9500.0,1644.7713716411704,1673.75
SLC,2023-03-01 04:54,37.0,2.78,9.0,-12.78,30.79,32.33,5.0,1003.6,0.0,0.0,,FEW,5000.0,1900.3010917869597,1944.9999999999998
HIF,2023-03-01 04:55,30.0,-1.11,11.7,-11.28,45.97,19.01,13.0,1004.7,0.0,0.0,,SCT,6500.0,1263.2535788578061,1271.25
ENV,2023-03-01 04:56,33.0,0.56,19.0,-7.22,55.75,21.85,16.0,1003.8,0.0,0.0,,CLR,,965.1729240084543,972.4999999999999
PVU,2023-03-01 04:56,35.0,1.67,9.0,-12.78,33.2,25.16,14.0,1006.8,0.0,0.0,,OVC,10000.0,1771.094828209841,1806.25
SGU,2023-03-01 04:56,46.0,7.78,30.0,-1.11,53.37,40.92,9.0,1008.0,0.0,0.0,,BKN,5500.0,1103.0320730773233,1111.25
LGU,2023-03-01 05:51,30.0,-1.11,12.9,-10.61,48.48,22.34,7.0,1005.6,0.0,0.0,,BKN,7500.0,1182.5786990305683,1187.5
BCE,2023-03-01 05:53,21.0,-6.11,19.9,-6.72,95.43,9.17,10.0,1006.4,0.0001,0.0001,,SCT,600.0,171.0238543419416,76.24999999999993
OGD,2023-03-01 05:53,35.0,1.67,12.9,-10.61,39.49,26.38,11.0,1003.3,0.0,0.0,,OVC,9000.0,1511.1663654903,1535.0
CDC,2023-03-01 05:53,30.0,-1.11,27.0,-2.78,88.44,19.01,13.0,1006.1,0.0,0.0,,FEW,4200.0,225.13329217694326,208.74999999999997
CNY,2023-03-01 05:53,32.0,0.0,18.0,-7.78,55.82,28.69,3.0,1008.2,0.0,0.0,,CLR,,958.4647983581086,972.5
PUC,2023-03-01 05:53,25.0,-3.89,6.0,-14.44,43.91,18.08,5.0,1010.5,0.0,0.0,,OVC,11000.0,1339.0870250190278,1318.7499999999998
VEL,2023-03-01 05:53,6.0,-14.44,1.9,-16.72,82.43,-4.36,5.0,1014.0,0.0,0.0,,CLR,,488.73101381624167,284.99999999999994
SLC,2023-03-01 05:54,38.0,3.33,10.0,-12.22,31.08,29.13,13.0,1003.3,0.0,0.0,20.0,OVC,10000.0,1895.4684772592689,1943.75
HIF,2023-03-01 05:55,32.0,0.0,12.0,-11.11,42.96,22.0,12.0,1003.6,0.0,0.0,,BKN,6500.0,1362.4194222372712,1388.75
ENV,2023-03-01 05:56,33.0,0.56,19.9,-6.72,57.93,21.52,17.0,1003.0,0.0,0.0,,CLR,,904.4129653644806,909.9999999999999
PVU,2023-03-01 05:56,34.0,1.11,12.0,-11.11,39.65,23.74,14.0,1006.5,0.0,0.0,,OVC,9500.0,1497.5931410717888,1527.4999999999998
SGU,2023-03-01 05:56,42.0,5.56,35.0,1.67,76.04,35.23,11.0,1007.9,0.0001,0.0001,,BKN,4900.0,485.17199596824094,486.24999999999994
LGU,2023-03-01 06:51,28.0,-2.22,14.0,-10.0,55.21,22.75,4.0,1004.9,0.0,0.0,,OVC,7500.0,989.4126424600141,972.4999999999999
BCE,2023-03-01 06:53,21.9,-5.61,19.9,-6.72,91.86,10.3,10.0,1004.8,0.0001,0.0001,,FEW,300.0,225.06826101378184,138.74999999999994
OGD,2023-03-01 06:53,36.0,2.22,12.9,-10.61,38.1,26.69,13.0,1002.6,0.0,0.0,,OVC,9000.0,1572.9791655194836,1603.75
CDC,2023-03-01 06:53,30.0,-1.11,27.0,-2.78,88.44,22.34,7.0,1005.8,0.0001,0.0001,,SCT,500.0,225.1334814135733,208.74999999999997
PUC,2023-03-01 06:53,25.0,-3.89,7.0,-13.89,45.75,19.25,4.0,1009.6,0.0,0.0,,OVC,10000.0,1278.9277051752915,1250.0
VEL,2023-03-01 06:53,9.0,-12.78,5.0,-15.0,83.41,2.4,3.0,1012.9,0.0,0.0,,FEW,12000.0,455.68889473805183,277.50000000000006
CNY,2023-03-01 06:53,33.0,0.56,17.1,-8.28,51.37,33.1,0.0,1007.6,0.0,0.0,,FEW,12000.0,1093.6347959254488,1105.0
SLC,2023-03-01 06:54,38.0,3.33,10.9,-11.72,32.36,28.11,16.0,1002.5,0.0,0.0,27.0,OVC,10000.0,1835.31836624058,1881.25
HIF,2023-03-01 06:55,33.0,0.56,10.2,-12.11,37.94,23.86,11.0,1002.5,0.0,0.0,,BKN,7000.0,1556.4114740522862,1583.75
ENV,2023-03-01 06:56,34.0,1.11,19.9,-6.72,55.88,23.03,16.0,1001.8,0.0,0.0,,CLR,,966.2921334153781,978.75
PVU,2023-03-01 06:56,34.0,1.11,12.0,-11.11,39.65,23.37,15.0,1006.0,0.0,0.0,,BKN,7500.0,1497.594252121977,1527.4999999999998
SGU,2023-03-01 06:56,42.0,5.56,36.0,2.22,78.8,36.55,8.0,1007.2,0.0001,0.0001,,OVC,3700.0,423.251826147624,417.49999999999994
BCE,2023-03-01 07:48,21.9,-5.61,19.9,-6.72,91.86,10.3,10.0,1004.1,0.0001,0.0001,,VV ,1200.0,225.06857493034212,138.74999999999994
LGU,2023-03-01 07:51,33.0,0.56,18.0,-7.78,53.4,23.4,12.0,1004.1,0.0,0.0,,OVC,4200.0,1032.9834544292105,1042.5
MLF,2023-03-01 07:52,30.0,-1.11,26.1,-3.28,85.21,18.58,14.0,1004.3,0.0,0.0,,SCT,1700.0,286.9443180078922,271.25
OGD,2023-03-01 07:53,36.0,2.22,12.9,-10.61,38.1,25.97,15.0,1001.8,0.0,0.0,,OVC,8500.0,1572.9811241879884,1603.75
CDC,2023-03-01 07:53,30.0,-1.11,27.0,-2.78,88.44,19.01,13.0,1004.5,0.0001,0.0001,19.0,OVC,1400.0,225.1343027476267,208.74999999999997
PUC,2023-03-01 07:53,26.1,-3.28,8.1,-13.28,45.93,19.39,5.0,1009.0,0.0,0.0,,FEW,8000.0,1271.3900430636945,1250.0
VEL,2023-03-01 07:53,10.0,-12.22,5.0,-15.0,79.76,1.73,4.0,1012.2,0.0,0.0,,CLR,,515.5309686123173,347.49999999999994
CNY,2023-03-01 07:53,35.0,1.67,18.0,-7.78,49.31,25.95,12.0,1007.0,0.0,0.0,,BKN,7000.0,1168.8949678139884,1181.25
SLC,2023-03-01 07:54,38.0,3.33,10.9,-11.72,32.36,27.8,17.0,1002.1,0.0,0.0,25.0,OVC,11000.0,1835.3194153883105,1881.25
HIF,2023-03-01 07:55,33.0,0.56,13.8,-10.11,44.86,21.59,16.0,1001.8,0.0,0.0,,BKN,7000.0,1303.0620652582595,1333.75
ENV,2023-03-01 07:56,33.0,0.56,21.9,-5.61,63.06,21.85,16.0,1001.4,0.0,0.0,20.0,CLR,,768.7664237268281,771.25
PVU,2023-03-01 07:56,34.0,1.11,12.0,-11.11,39.65,24.55,12.0,1005.4,0.0,0.0,,OVC,6000.0,1497.5955868423857,1527.4999999999998
SGU,2023-03-01 07:56,41.0,5.0,37.0,2.78,85.54,35.2,8.0,1006.1,0.0001,0.0001,,SCT,2700.0,277.88988419117516,277.5
LGU,2023-03-01 08:51,30.9,-0.61,18.0,-7.78,58.36,25.09,5.0,1004.0,0.0001,0.0001,,SCT,5000.0,892.6851664316197,896.25
MLF,2023-03-01 08:52,30.0,-1.11,28.9,-1.72,95.61,20.46,10.0,1003.1,0.51,0.02,,VV ,800.0,94.46178039855528,76.24999999999999
BCE,2023-03-01 08:53,21.9,-5.61,19.9,-6.72,91.86,9.15,12.0,1002.2,0.25,0.01,,FEW,300.0,225.06942920307685,138.74999999999994
OGD,2023-03-01 08:53,36.0,2.22,17.1,-8.28,45.77,25.32,17.0,1001.4,0.0,0.0,,OVC,7500.0,1291.262879275508,1312.5
CDC,2023-03-01 08:53,30.0,-1.11,27.0,-2.78,88.44,30.0,0.0,1002.4,0.25,0.01,,BKN,900.0,225.13563402686097,208.74999999999997
PUC,2023-03-01 08:53,27.0,-2.78,9.0,-12.78,46.08,20.46,5.0,1007.9,0.0,0.0,,OVC,8000.0,1265.045553226874,1250.0
CNY,2023-03-01 08:53,32.0,0.0,27.0,-2.78,81.55,25.53,6.0,1007.2,0.0,0.0,,FEW,900.0,345.23149245282775,347.5
VEL,2023-03-01 08:53,12.0,-11.11,6.0,-14.44,76.73,4.07,4.0,1011.4,0.0,0.0,,SCT,12000.0,561.9610990724638,416.25
SLC,2023-03-01 08:54,38.0,3.33,17.1,-8.28,42.46,27.52,18.0,1001.6,0.0,0.0,28.0,OVC,11000.0,1421.3630536805226,1451.25
HIF,2023-03-01 08:55,33.3,0.72,15.3,-9.28,47.13,22.11,16.0,1001.4,0.0,0.0,,FEW,4300.0,1229.0101587523486,1250.0
ENV,2023-03-01 08:56,32.0,0.0,23.0,-5.0,69.04,22.47,11.0,1001.3,0.0,0.0,,BKN,9000.0,618.9696673841115,625.0
PVU,2023-03-01 08:56,34.0,1.11,10.0,-12.22,36.27,26.58,8.0,1004.6,0.0,0.0,,OVC,5500.0,1631.3392372139433,1666.25
SGU,2023-03-01 08:56,41.0,5.0,36.0,2.22,82.22,38.98,3.0,1005.1,0.0001,0.0001,,BKN,2100.0,347.19101754371036,347.5
LGU,2023-03-01 09:51,32.0,0.0,19.0,-7.22,58.27,22.47,11.0,1003.3,0.0,0.0,,BKN,5000.0,890.7264979841508,902.5
MLF,2023-03-01 09:52,30.9,-0.61,28.9,-1.72,92.18,18.98,16.0,1001.5,0.76,0.03,,FEW,900.0,148.45842215350183,138.74999999999997
BCE,2023-03-01 09:53,21.9,-5.61,19.9,-6.72,91.86,7.69,15.0,1000.4,0.0001,0.0001,,FEW,400.0,225.07024151141778,138.74999999999994
OGD,2023-03-01 09:53,37.0,2.78,19.0,-7.22,47.74,26.05,19.0,1000.7,0.0,0.0,22.0,OVC,6000.0,1231.6135888854071,1250.0
CDC,2023-03-01 09:53,30.0,-1.11,27.0,-2.78,88.44,21.03,9.0,1001.6,0.25,0.01,,BKN,600.0,225.13614265207136,208.74999999999997
PUC,2023-03-01 09:53,26.1,-3.28,10.9,-11.72,52.07,19.39,5.0,1007.2,0.0,0.0,,BKN,6500.0,1084.1195854868079,1055.0000000000002
VEL,2023-03-01 09:53,16.0,-8.89,8.1,-13.28,70.5,8.74,4.0,1009.5,0.0,0.0,,OVC,9000.0,667.7266764581235,548.7499999999999
CNY,2023-03-01 09:53,30.9,-0.61,28.0,-2.22,88.84,21.59,10.0,1006.2,0.0001,0.0001,,FEW,3300.0,210.5013646250797,201.25000000000003
SLC,2023-03-01 09:54,37.0,2.78,18.0,-7.78,45.73,27.61,14.0,1001.0,0.0,0.0,23.0,BKN,12000.0,1299.0833283025759,1320.0
HIF,2023-03-01 09:55,33.0,0.56,20.1,-6.61,58.9,20.93,18.0,1000.8,0.0,0.0,26.0,OVC,5000.0,878.0050869610244,896.25
PVU,2023-03-01 09:56,34.0,1.11,17.1,-8.28,49.55,22.7,17.0,1003.4,0.0,0.0,,OVC,5000.0,1155.4809884558608,1173.7499999999998
SGU,2023-03-01 09:56,39.0,3.89,36.0,2.22,88.87,33.96,6.0,1003.9,0.0001,0.0001,,BKN,3300.0,208.43573514074873,208.75
ENV,2023-03-01 09:56,33.0,0.56,23.0,-5.0,66.06,23.4,12.0,1000.4,0.0,0.0,,BKN,10000.0,693.7312679581827,695.0000000000001
HIF,2023-03-01 09:59,32.0,0.0,21.2,-6.0,63.99,22.0,12.0,1001.4,0.0,0.0,,BKN,5000.0,741.539139663851,750.0
LGU,2023-03-01 10:51,30.9,-0.61,19.9,-6.72,63.31,21.08,11.0,1002.7,0.0,0.0,,SCT,9000.0,763.8726115131024,763.7499999999999
MLF,2023-03-01 10:52,30.0,-1.11,28.9,-1.72,95.61,18.58,14.0,1000.3,0.76,0.03,,FEW,200.0,94.46258888803287,76.24999999999999
BCE,2023-03-01 10:53,21.9,-5.61,21.0,-6.11,96.26,9.15,12.0,1000.0,0.0001,0.0001,,FEW,600.0,150.11346878930473,62.5
OGD,2023-03-01 10:53,36.0,2.22,19.9,-6.72,51.61,25.63,16.0,1000.1,0.0,0.0,24.0,OVC,7000.0,1102.7049075576356,1117.5
CDC,2023-03-01 10:53,30.0,-1.11,27.0,-2.78,88.44,22.34,7.0,1000.2,0.0001,0.0001,,FEW,2200.0,225.13703470776537,208.74999999999997
PUC,2023-03-01 10:53,26.1,-3.28,10.9,-11.72,52.07,26.1,0.0,1006.7,0.0,0.0,,FEW,3000.0,1084.1203260596283,1055.0000000000002
VEL,2023-03-01 10:53,15.1,-9.39,9.0,-12.78,76.34,7.69,4.0,1009.2,0.0,0.0,,OVC,11000.0,553.6782282421761,423.74999999999983
CNY,2023-03-01 10:53,30.9,-0.61,28.9,-1.72,92.18,22.15,9.0,1005.0,0.0001,0.0001,,FEW,1400.0,148.4568310623115,138.74999999999997
SLC,2023-03-01 10:54,37.0,2.78,19.9,-6.72,49.61,27.61,14.0,999.9,0.0,0.0,27.0,SCT,5000.0,1170.9860510407207,1187.5
HIF,2023-03-01 10:55,30.7,-0.72,19.6,-6.89,63.01,18.72,16.0,1000.4,0.0,0.0,20.0,FEW,5000.0,772.3559548408657,771.25
ENV,2023-03-01 10:56,32.0,0.0,21.9,-5.61,65.92,22.0,12.0,999.7,0.0,0.0,,FEW,11000.0,693.7600029404098,701.25
PVU,2023-03-01 10:56,34.0,1.11,19.9,-6.72,55.88,24.99,11.0,1002.5,0.0,0.0,,BKN,5500.0,966.2907039055518,978.75
SGU,2023-03-01 10:56,40.0,4.44,37.0,2.78,89.27,36.65,4.0,1003.1,0.0001,0.0001,,SCT,3000.0,201.6102397744835,207.50000000000009
LGU,2023-03-01 11:51,30.9,-0.61,18.0,-7.78,58.36,21.08,11.0,1002.0,0.0,0.0,,BKN,9500.0,892.6886170884987,896.25
MLF,2023-03-01 11:52,30.9,-0.61,28.9,-1.72,92.18,19.74,14.0,999.8,0.25,0.01,,SCT,1300.0,148.4591989970564,138.74999999999997
BCE,2023-03-01 11:53,23.0,-5.0,21.0,-6.11,91.9,10.04,13.0,999.4,0.25,0.01,,VV ,1200.0,216.13582007043928,138.75000000000003
OGD,2023-03-01 11:53,34.0,1.11,21.0,-6.11,58.56,26.0,9.0,1000.2,0.0,0.0,,OVC,7000.0,891.6603779151509,902.5000000000001
CDC,2023-03-01 11:53,30.0,-1.11,27.0,-2.78,88.44,19.94,11.0,999.4,0.0,0.0,,OVC,9500.0,225.1375455781493,208.74999999999997
PUC,2023-03-01 11:53,23.0,-5.0,19.0,-7.22,84.39,23.0,0.0,1006.4,0.25,0.01,,OVC,1300.0,352.2689094906804,277.49999999999994
VEL,2023-03-01 11:53,12.9,-10.61,10.0,-12.22,87.92,12.9,0.0,1009.5,0.0,0.0,,FEW,7000.0,354.7062182227991,201.25000000000014
CNY,2023-03-01 11:53,30.0,-1.11,28.9,-1.72,95.61,21.03,9.0,1004.2,0.0001,0.0001,,SCT,900.0,94.4614640137809,76.24999999999999
SLC,2023-03-01 11:54,36.0,2.22,19.9,-6.72,51.61,28.49,9.0,999.9,0.0,0.0,,FEW,5000.0,1102.7053756009118,1117.5
HIF,2023-03-01 11:55,29.5,-1.39,19.6,-6.89,66.16,19.31,11.0,1000.8,0.0,0.0,,BKN,6000.0,700.6488475648117,687.5
ENV,2023-03-01 11:56,34.0,1.11,23.0,-5.0,63.72,28.77,5.0,999.5,0.0,0.0,14.0,BKN,10000.0,755.7899189172824,763.75
PVU,2023-03-01 11:56,34.0,1.11,18.0,-7.78,51.52,22.7,17.0,1002.1,0.0,0.0,,OVC,5500.0,1094.4964986782663,1111.25
SGU,2023-03-01 11:56,42.0,5.56,34.0,1.11,72.78,38.39,5.0,1001.9,0.0001,0.0001,14.0,FEW,3300.0,560.7998520491794,556.2499999999999
LGU,2023-03-01 12:51,28.0,-2.22,19.0,-7.22,68.57,24.12,3.0,1001.9,0.0,0.0,,CLR,,651.5059130485962,625.0
MLF,2023-03-01 12:52,30.9,-0.61,28.0,-2.22,88.84,20.16,13.0,999.7,0.0001,0.0001,,BKN,4500.0,210.50540385682422,201.25000000000003
BCE,2023-03-01 12:53,23.0,-5.0,21.0,-6.11,91.9,10.04,13.0,1001.9,0.0001,0.0001,,FEW,500.0,216.13467622415536,138.75000000000003
OGD,2023-03-01 12:53,33.0,0.56,19.9,-6.72,57.93,28.7,4.0,1000.0,0.0,0.0,,BKN,6500.0,904.4186863829457,909.9999999999999
CDC,2023-03-01 12:53,30.0,-1.11,27.0,-2.78,88.44,18.58,14.0,999.6,0.0,0.0,,SCT,8000.0,225.13741778374728,208.74999999999997
PUC,2023-03-01 12:53,21.9,-5.61,19.0,-7.22,88.4,17.14,3.0,1006.1,0.51,0.02,,OVC,1700.0,286.18605214405756,201.24999999999994
VEL,2023-03-01 12:53,14.0,-10.0,9.0,-12.78,80.1,8.11,3.0,1009.2,0.0,0.0,,BKN,7000.0,487.79211110209997,347.49999999999994
CNY,2023-03-01 12:53,30.0,-1.11,28.0,-2.22,92.15,19.94,11.0,1003.9,0.25,0.01,,OVC,1200.0,156.44857320838244,138.75
SLC,2023-03-01 12:54,36.0,2.22,19.0,-7.22,49.66,26.69,13.0,999.7,0.0,0.0,,BKN,10000.0,1163.5466832081395,1180.0
HIF,2023-03-01 12:55,29.7,-1.28,17.8,-7.89,60.75,17.42,16.0,1000.1,0.0,0.0,,SCT,6000.0,834.5517431247594,826.2499999999999
ENV,2023-03-01 12:56,30.9,-0.61,25.0,-3.89,78.48,24.21,6.0,1000.5,0.0,0.0,,OVC,9500.0,416.3650096049828,410.00000000000006
PVU,2023-03-01 12:56,33.0,0.56,21.0,-6.11,60.71,22.21,15.0,1001.8,0.0,0.0,,OVC,5500.0,829.6933078027133,833.75
SGU,2023-03-01 12:56,41.0,5.0,35.0,1.67,79.34,35.2,8.0,1002.1,0.25,0.01,,FEW,2700.0,409.23547887485336,416.25
LGU,2023-03-01 13:51,21.9,-5.61,16.0,-8.89,77.67,21.9,0.0,1003.2,0.0,0.0,,CLR,,489.6403522452792,410.00000000000006
MLF,2023-03-01 13:52,30.9,-0.61,28.9,-1.72,92.18,21.59,10.0,999.9,0.0001,0.0001,,BKN,3200.0,148.4591532271029,138.74999999999997
BCE,2023-03-01 13:53,21.9,-5.61,21.0,-6.11,96.26,9.7,11.0,1000.1,0.0001,0.0001,,FEW,600.0,150.1134371586439,62.5
CDC,2023-03-01 13:53,30.9,-0.61,26.1,-3.28,82.15,21.08,11.0,999.0,0.0,0.0,,FEW,4600.0,340.9476824820964,333.75
PUC,2023-03-01 13:53,23.0,-5.0,19.9,-6.72,87.7,18.4,3.0,1006.1,0.51,0.02,,OVC,2000.0,291.04773737916696,214.99999999999997
VEL,2023-03-01 13:53,16.0,-8.89,12.0,-11.11,83.91,16.0,0.0,1008.7,0.0,0.0,,OVC,5500.0,406.11647312584176,277.4999999999999
